canonical_item_id,source,object_type,object_subtype,type_name,market_hash_name,item_name,weapon_type,weapon_family,weapon_name,skin_name,wear,rarity,collection,is_stattrak,is_souvenir,listing_id,asset_id,sample_price,sample_currency,raw_type
container__shanghai_2024_challengers_autograph_capsule,csgo_api_reference,container,Autograph Capsule,Autograph Capsule,Shanghai 2024 Challengers Autograph Capsule,Shanghai 2024 Challengers Autograph Capsule,,,,,,Base Grade,,False,False,crate-4979,4979,,,Autograph Capsule
container__shanghai_2024_challengers_sticker_capsule,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,Shanghai 2024 Challengers Sticker Capsule,Shanghai 2024 Challengers Sticker Capsule,,,,,,Base Grade,,False,False,crate-4965,4965,,,Sticker Capsule
container__shanghai_2024_champions_autograph_capsule,csgo_api_reference,container,Autograph Capsule,Autograph Capsule,Shanghai 2024 Champions Autograph Capsule,Shanghai 2024 Champions Autograph Capsule,,,,,,Base Grade,,False,False,crate-4981,4981,,,Autograph Capsule
container__shanghai_2024_contenders_autograph_capsule,csgo_api_reference,container,Autograph Capsule,Autograph Capsule,Shanghai 2024 Contenders Autograph Capsule,Shanghai 2024 Contenders Autograph Capsule,,,,,,Base Grade,,False,False,crate-4980,4980,,,Autograph Capsule
container__shanghai_2024_contenders_sticker_capsule,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,Shanghai 2024 Contenders Sticker Capsule,Shanghai 2024 Contenders Sticker Capsule,,,,,,Base Grade,,False,False,crate-4966,4966,,,Sticker Capsule
container__shanghai_2024_dust_ii_souvenir_package,csgo_api_reference,container,Souvenir,Souvenir,Shanghai 2024 Dust II Souvenir Package,Shanghai 2024 Dust II Souvenir Package,,,,,,Base Grade,,False,False,crate-4970,4970,,,Souvenir
container__shanghai_2024_inferno_souvenir_package,csgo_api_reference,container,Souvenir,Souvenir,Shanghai 2024 Inferno Souvenir Package,Shanghai 2024 Inferno Souvenir Package,,,,,,Base Grade,,False,False,crate-4967,4967,,,Souvenir
container__shanghai_2024_legends_autograph_capsule,csgo_api_reference,container,Autograph Capsule,Autograph Capsule,Shanghai 2024 Legends Autograph Capsule,Shanghai 2024 Legends Autograph Capsule,,,,,,Base Grade,,False,False,crate-4978,4978,,,Autograph Capsule
container__shanghai_2024_legends_sticker_capsule,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,Shanghai 2024 Legends Sticker Capsule,Shanghai 2024 Legends Sticker Capsule,,,,,,Base Grade,,False,False,crate-4964,4964,,,Sticker Capsule
container__shanghai_2024_mirage_souvenir_package,csgo_api_reference,container,Souvenir,Souvenir,Shanghai 2024 Mirage Souvenir Package,Shanghai 2024 Mirage Souvenir Package,,,,,,Base Grade,,False,False,crate-4968,4968,,,Souvenir
